Before (ms),After (ms)
31.849834,19.877416
17.471292,18.126834
17.532167,17.985709
17.648542,17.842083
17.878542,18.098501
18.865125,17.374417
17.66225,17.87375
19.284,18.373541
17.645458,17.099208
18.147208,17.475292
17.849416,18.522375
19.286792,18.010541
17.946875,18.164833
18.463833,18.011709
17.747583,18.945208
17.652291,18.158792
17.471583,19.15125
17.614167,18.312375
19.086917,18.603
17.376958,17.99825
18.26125,19.053375
19.563,18.857625
17.294958,19.361459
20.999,19.042333
19.11275,17.957583
18.95625,18.88375
17.405166,17.242959
19.587125,18.2885
17.183875,18.234834
17.168208,17.975667
17.435875,18.156167
17.57075,17.96025
17.273208,18.332375
18.2085,19.593875
17.398792,16.856542
17.473625,17.740834
18.684292,18.522167
17.607875,17.949792
17.868459,17.803792
18.441708,18.064583
18.655084,17.864792
46.225792,17.745833
18.667666,18.389709
17.455958,17.752709
18.915917,19.295708
19.748083,20.132
18.69725,19.13125
18.527166,19.359041
17.252541,18.4655
19.902833,20.357333
17.673875,18.879375
